,district_id,name,state_code,num_students,spiya_or_peer_deal,current_provider_deal,deal_current_provider_array
5033,953961,North East School District,PA,1652,False,False,
5034,953963,North Hills School District,PA,4382,False,False,
5035,953964,North Penn School District,PA,12885,True,True,['Comcast']
5036,953966,North Pocono School District,PA,2954,True,True,['Comcast']
5037,953967,Northampton Area School District,PA,5607,False,False,
5038,953968,Riverside Beaver Co School District,PA,1468,False,False,
5039,953970,Northeastern York School District,PA,3769,False,False,
5040,953971,Northern Bedford Co School District,PA,927,False,False,
5041,953972,Northern Cambria School District,PA,1062,False,False,
5042,953974,Northern Lebanon School District,PA,2293,True,True,['Comcast']
5043,953975,Northern Lehigh School District,PA,1562,False,False,
5044,953978,Northern Tioga School District,PA,2126,True,True,['PenTeleData Limited Partnership I']
5045,953984,Northwestern Lehigh School District,PA,2141,False,False,
5046,953985,Northwestern School District,PA,1391,True,True,['Velocity.Net Communications']
5047,953987,Octorara Area School District,PA,2369,False,False,
5048,953988,Oil City Area School District,PA,2001,False,False,
5049,953989,Old Forge School District,PA,966,True,True,['Comcast']
5050,953990,Oley Valley School District,PA,1656,False,False,
5051,953993,Owen J Roberts School District,PA,5293,False,False,
5052,953994,Oxford Area School District,PA,3871,True,True,['Chester County Community Net.']
5053,953996,Palmerton Area School District,PA,1731,True,True,['PenTeleData Limited Partnership I']
5054,953997,Palmyra Area School District,PA,3566,False,False,
5055,953998,Panther Valley School District,PA,1664,False,False,
5056,953999,Parkland School District,PA,9299,False,False,
5057,954000,Pen Argyl Area School District,PA,1655,False,False,
5058,954005,Penn-Trafford School District,PA,3843,False,False,
5059,954006,Penncrest School District,PA,2904,True,False,
5060,954011,Penns Valley Area School District,PA,1473,False,False,
5061,954013,Pequea Valley School District,PA,1535,False,False,
5062,954015,Perkiomen Valley School District,PA,5569,False,False,
5063,954017,Peters Township School District,PA,4103,False,False,
5064,954018,School District of Philadelphia,PA,130323,True,True,['Crown Castle Fiber']
5065,954021,Phoenixville Area School District,PA,3792,False,False,
5066,954022,Pine Grove Area School District,PA,1668,False,False,
5067,954024,Pittsburgh School District,PA,21905,True,True,"['Consolidated Communications', 'Crown Castle Fiber']"
5068,954025,Pittston Area School District,PA,3280,True,False,
5069,954027,Pleasant Valley School District,PA,4680,False,False,
5070,954029,Colonial School District,PA,4854,False,False,
5071,954030,Pocono Mountain School District,PA,9008,False,False,
5072,954034,Pottsgrove School District,PA,3265,False,False,
5073,954036,Pottstown School District,PA,3205,False,False,
5074,954037,Pottsville Area School District,PA,2704,False,False,
5075,954038,Punxsutawney Area School District,PA,2146,True,True,['Verizon']
5076,954040,Quaker Valley School District,PA,1867,False,False,
