,district_id,state_code,rec_cost,purpose,state_network
26632,962258,SC,3495.3199999999999999650468,wan,True
26633,962258,SC,2550.64000000000000000000,wan,True
26634,962259,SC,5972.00000000000000000000,internet,True
26635,962259,SC,626.00000000000000000000,internet,True
26636,962259,SC,5771.0800000000000003462648,wan,True
26637,962259,SC,14938.5600000000000003307824,wan,True
26638,962259,SC,2539.6800000000000003470896,wan,True
26639,962261,SC,3194.00000000000000000000,internet,True
26640,962262,SC,3194.00000000000000000000,internet,True
26641,962262,SC,2202.8200000000000004405640,wan,True
26642,962262,SC,8738.2999999999999999126170,wan,True
26643,962262,SC,1275.32000000000000000000,wan,True
26644,962263,SC,2915.50000000000000023324,internet,True
26645,962265,SC,2915.50000000000000023324,internet,True
26646,962266,SC,3194.00000000000000000000,internet,True
26647,962266,SC,19825.3800000000000009251844,wan,True
26648,962266,SC,10485.9599999999999998951404,wan,True
26649,962266,SC,2550.64000000000000000000,wan,True
26650,962266,SC,1086.380000000000000054319,wan,True
26651,962267,SC,8750.00000000000000000000,internet,True
26652,962267,SC,1611.6200000000000000322324,wan,True
26653,962267,SC,20198.7800000000000003174094,wan,True
26654,962267,SC,54419.0399999999999995518432,wan,True
26655,962267,SC,3740.300000000000000000000,wan,True
26656,962267,SC,6208.6599999999999998758268,wan,True
26657,962267,SC,7619.0399999999999997798944,wan,True
26658,962267,SC,13216.9199999999999996034924,wan,True
26659,962268,SC,4852.58823529411764686472,internet,True
26660,962268,SC,3104.3300000000000003725196,wan,True
26661,962268,SC,19825.3800000000000009251844,wan,True
26662,962268,SC,1747.6599999999999999825234,wan,True
26663,962269,SC,2915.50000000000000023324,internet,True
26664,962269,SC,2202.8200000000000004405640,wan,True
26665,962269,SC,3495.3199999999999999650468,wan,True
26666,962270,SC,3194.00000000000000000000,internet,True
26667,962271,SC,3194.00000000000000000000,internet,True
26668,962271,SC,3740.300000000000000000000,wan,True
26669,962271,SC,5242.9799999999999999475702,wan,True
26670,962271,SC,3825.96000000000000000000,wan,True
26671,962273,SC,2915.50000000000000023324,internet,True
26672,962273,SC,2198.00000000000000001099,wan,True
26673,962274,SC,8056.00000000000000000000,internet,True
26674,962274,SC,4390.0499999999999999121990,wan,True
26675,962274,SC,31043.3000000000000002483464,wan,True
26676,962274,SC,77098.7000000000000002202820,wan,True
26677,962274,SC,3495.3199999999999999650468,wan,True
26678,962275,SC,3194.00000000000000000000,internet,True
26679,962275,SC,4405.6400000000000008811280,wan,True
26680,962276,SC,5972.00000000000000000000,internet,True
26681,962276,SC,1442.7700000000000000865662,wan,True
26682,962276,SC,8536.3199999999999987195520,wan,True
26683,962276,SC,4232.7999999999999997375664,wan,True
26684,962276,SC,3495.3199999999999999650468,wan,True
26685,962277,SC,4852.58823529411764686472,internet,True
26686,962277,SC,3104.3300000000000003725196,wan,True
26687,962277,SC,19825.3800000000000009251844,wan,True
26688,962277,SC,10485.9599999999999998951404,wan,True
26689,962277,SC,1275.32000000000000000000,wan,True
26690,962278,SC,3194.00000000000000000000,internet,True
26691,962279,SC,3194.00000000000000000000,internet,True
26692,962280,SC,2915.50000000000000023324,internet,True
26693,962280,SC,453.2700000000000000000000,wan,True
26694,962280,SC,2250.00000000000000000000,wan,True
26695,962280,SC,3240.00000000000000000000,wan,True
26696,962280,SC,1747.6599999999999999825234,wan,True
26697,962280,SC,2550.64000000000000000000,wan,True
26698,962281,SC,4852.58823529411764686472,internet,True
26699,962281,SC,2202.8200000000000004405640,wan,True
26700,962281,SC,31639.99999999999999988700,wan,True
26701,962282,SC,4852.58823529411764686472,internet,True
26702,962282,SC,1377.200000000000000027544,wan,True
26703,962282,SC,1442.7700000000000000865662,wan,True
26704,962282,SC,3055.5900000000000000814824,wan,True
26705,962282,SC,4848.4800000000000000000000,wan,True
26706,962282,SC,1179.360000000000000000000,wan,True
26707,962283,SC,3194.00000000000000000000,internet,True
26708,962284,SC,3194.00000000000000000000,internet,True
26709,962284,SC,1067.0399999999999998399440,wan,True
26710,962284,SC,846.5599999999999996952384,wan,True
26711,962284,SC,2202.8200000000000004405640,wan,True
26712,962284,SC,1275.32000000000000000000,wan,True
26713,962286,SC,4852.58823529411764686472,internet,True
26714,962286,SC,4328.3100000000000002596986,wan,True
26715,962286,SC,9603.3600000000000011310624,wan,True
26716,962286,SC,3386.2400000000000000423280,wan,True
26717,962290,SC,3194.00000000000000000000,internet,True
26718,962290,SC,2230.0800000000000000000000,wan,True
26719,962290,SC,2655.1200000000000000000000,wan,True
26720,962290,SC,1291.6800000000000000000000,wan,True
26721,962291,SC,2915.50000000000000023324,internet,True
26722,962291,SC,1275.32000000000000000000,wan,True
26723,962293,SC,3194.00000000000000000000,internet,True
26724,962293,SC,7641.6999999999999999235830,wan,True
26725,962293,SC,4376.320000000000000000000,wan,True
26726,962293,SC,865.2800000000000000000000,wan,True
26727,962295,SC,6300.00000000000000000000,internet,True
26728,962295,SC,69300.00000000000000000000,internet,True
26729,962296,SC,2202.8200000000000004405640,wan,True
26730,962296,SC,8738.2999999999999999126170,wan,True
26731,962297,SC,4268.1599999999999993597760,wan,True
26732,962297,SC,4405.6400000000000008811280,wan,True
26733,962299,SC,4852.58823529411764686472,internet,True
26734,962299,SC,13560.00000000000000003390,wan,True
26735,962300,SC,4852.58823529411764686472,internet,True
26736,962300,SC,1900.00000000000000000000,upstream,True
26737,962300,SC,5771.0800000000000003462648,wan,True
26738,962300,SC,12804.4800000000000006508944,wan,True
26739,962300,SC,4232.7999999999999997375664,wan,True
26740,962300,SC,264945.57222222246666546236861111111,wan,True
26741,962300,SC,620.00000000000000000000,isp,True
26742,962302,SC,6667.00000000000000000000,internet,True
26743,962302,SC,5771.0800000000000003462648,wan,True
26744,962302,SC,13871.5200000000000004908384,wan,True
26745,962302,SC,22010.5599999999999996444448,wan,True
26746,962302,SC,1853.2799999999999999629344,wan,True
26747,962302,SC,914833.811475409836065379125,wan,True
26748,962303,SC,5972.00000000000000000000,internet,True
26749,962303,SC,2885.5400000000000001731324,wan,True
26750,962303,SC,4268.1599999999999993597760,wan,True
26751,962303,SC,846.5599999999999996952384,wan,True
26752,962305,SC,3194.00000000000000000000,internet,True
26753,962305,SC,2202.8200000000000004405640,wan,True
26754,962305,SC,1747.6599999999999999825234,wan,True
26755,962308,SC,3194.00000000000000000000,internet,True
26756,962308,SC,6608.4600000000000013216920,wan,True
26757,962308,SC,6990.6399999999999999300936,wan,True
26758,962309,SC,4852.58823529411764686472,internet,True
26759,962309,SC,2885.5400000000000001731324,wan,True
26760,962309,SC,5335.1999999999999991997200,wan,True
26761,962309,SC,1693.1199999999999993904768,wan,True
