funding_year,state_code,district_id,num_students,old_total_bw,old_total_cost,old_bw_per_student,projected_bw_fy2018,deal,total_circuits,new_total_bw,new_total_cost,total_li,bw_rank,best_deal,new_bw_per_student,total_bw_change,total_bw_percent_change
2019,ID,895480,12256,3000.0,3721.0,244.77806788511748,8579.2,Deal 3,2.0,5400.0,3670.0,2.0,1.0,True,440.6005221932115,2400.0,0.8
2019,ID,895494,1604,1000.0,2650.0,623.4413965087282,1604.0,Deal 1,2.0,1400.0,2575.0,2.0,1.0,True,872.8179551122195,400.0,0.4
2019,IL,900624,526,200.0,1250.0,380.22813688212926,526.0,Deal 2,2.0,500.0,1200.0,1.0,1.0,True,950.5703422053232,300.0,1.5
2019,IL,900627,630,300.0,1469.3,476.1904761904762,630.0,Deal 1,1.0,500.0,1350.0,1.0,1.0,True,793.6507936507936,200.0,0.6666666666666666
2019,IL,900677,587,210.0,664.04,357.75127768313456,587.0,Deal 1,1.0,400.0,575.0,1.0,1.0,True,681.4310051107325,190.0,0.9047619047619048
2019,IL,900681,692,100.0,825.0,144.50867052023122,692.0,Deal 1,1.0,350.0,825.0,1.0,1.0,True,505.78034682080926,250.0,2.5
2019,IL,900752,824,400.0,2000.0,485.43689320388347,824.0,Deal 1,2.0,750.0,1950.0,2.0,1.0,True,910.1941747572815,350.0,0.875
2019,IL,900841,618,200.0,2189.25,323.62459546925567,618.0,Deal 1,1.0,400.0,2003.0,1.0,1.0,True,647.2491909385113,200.0,1.0
2019,IL,900850,1246,454.0,861.54,364.36597110754417,1246.0,Deal 1,1.0,500.0,799.0,1.0,1.0,True,401.2841091492777,46.0,0.1013215859030837
2019,IL,900860,341,200.0,750.0,586.5102639296188,341.0,Deal 1,1.0,250.0,600.0,1.0,1.0,True,733.1378299120234,50.0,0.25
2019,IL,900890,703,200.0,990.0,284.4950213371266,703.0,Deal 1,1.0,590.0,950.0,1.0,1.0,True,839.2603129445234,390.0,1.95
2019,IL,900894,696,150.0,1250.0,215.51724137931035,696.0,Deal 2,2.0,500.0,1200.0,1.0,1.0,True,718.3908045977012,350.0,2.3333333333333335
2019,IL,900895,516,200.0,1000.0,387.5968992248062,516.0,Deal 1,2.0,405.0,950.0,2.0,1.0,True,784.8837209302326,205.0,1.025
2019,IL,900903,731,200.0,1050.0,273.59781121751024,731.0,Deal 1,1.0,590.0,950.0,1.0,1.0,True,807.1135430916553,390.0,1.95
2019,IL,900915,1098,200.0,828.87,182.14936247723134,1098.0,Deal 2,1.0,500.0,800.0,1.0,1.0,True,455.3734061930783,300.0,1.5
2019,IL,900925,4712,1000.0,2000.0,212.22410865874363,4005.2,Deal 1,3.0,3100.0,1989.0,3.0,1.0,True,657.8947368421053,2100.0,2.1
2019,IL,900941,8070,1100.0,3100.0,136.3073110285006,6859.5,Deal 1,4.0,4000.0,2400.0,1.0,1.0,True,495.6629491945477,2900.0,2.6363636363636362
2019,IL,900954,2462,500.0,1362.0,203.08692120227457,2092.7,Deal 1,3.0,750.0,1361.0,3.0,1.0,True,304.63038180341186,250.0,0.5
2019,IL,900961,3409,1000.0,2128.0,293.3411557641537,2897.65,Deal 1,2.0,1100.0,1888.0,2.0,1.0,True,322.67527134056905,100.0,0.1
2019,IL,900968,1511,500.0,2101.43,330.90668431502314,1511.0,Deal 4,2.0,1125.0,2070.0,2.0,1.0,True,744.5400397088022,625.0,1.25
2019,IL,900971,641,300.0,289.96,468.01872074882994,641.0,Deal 1,2.0,500.0,280.0,2.0,1.0,True,780.0312012480499,200.0,0.6666666666666666
2019,IL,900987,3107,500.0,1760.0,160.926939169617,2640.95,Deal 1,8.0,1450.0,1745.0,3.0,1.0,True,466.6881235918893,950.0,1.9
2019,IL,900993,984,300.0,1400.0,304.8780487804878,984.0,Deal 1,1.0,500.0,1350.0,1.0,1.0,True,508.130081300813,200.0,0.6666666666666666
2019,IL,901000,1116,50.0,1711.89,44.80286738351254,1116.0,Deal 2,2.0,1100.0,1510.0,2.0,1.0,True,985.663082437276,1050.0,21.0
2019,IL,901003,450,200.0,1000.0,444.44444444444446,450.0,Deal 1,2.0,405.0,950.0,2.0,1.0,True,900.0,205.0,1.025
2019,IL,901006,2106,250.0,2200.0,118.70845204178538,2106.0,Deal 1,2.0,750.0,1950.0,2.0,1.0,True,356.1253561253561,500.0,2.0
2019,IL,901020,9675,5600.0,4615.6,578.811369509044,6772.5,Deal 2,2.0,6000.0,4422.0,2.0,1.0,True,620.1550387596899,400.0,0.07142857142857142
2019,IL,901023,2749,500.0,1615.0,181.88432157148054,2336.65,Deal 3,2.0,1100.0,1510.0,2.0,1.0,True,400.14550745725717,600.0,1.2
2019,IL,901025,955,200.0,1000.0,209.4240837696335,955.0,Deal 1,2.0,405.0,950.0,2.0,1.0,True,424.08376963350787,205.0,1.025
2019,IL,901051,1195,250.0,1442.46,209.20502092050208,1195.0,Deal 1,1.0,1000.0,1240.0,1.0,1.0,True,836.8200836820083,750.0,3.0
2019,IL,901052,513,200.0,1000.0,389.8635477582846,513.0,Deal 1,2.0,405.0,950.0,2.0,1.0,True,789.4736842105264,205.0,1.025
2019,IL,901066,5918,1000.0,2800.0,168.97600540723218,5030.3,Deal 2,1.0,3000.0,2600.0,1.0,1.0,True,506.9280162216965,2000.0,2.0
2019,IL,901082,2772,500.0,916.666666666667,180.37518037518038,2772.0,Deal 1,1.0,1000.0,600.0,1.0,1.0,True,360.75036075036076,500.0,1.0
2019,IL,901086,1922,500.0,1461.78,260.1456815816857,1633.7,Deal 1,1.0,1000.0,1284.0,1.0,1.0,True,520.2913631633714,500.0,1.0
2019,IL,901087,274,100.0,750.0,364.963503649635,274.0,Deal 1,1.0,250.0,600.0,1.0,1.0,True,912.4087591240876,150.0,1.5
2019,IL,901095,1493,200.0,1500.0,133.95847287340925,1493.0,Deal 2,1.0,500.0,1350.0,1.0,1.0,True,334.8961821835231,300.0,1.5
2019,IL,901106,2739,1000.0,1955.0,365.09675063891933,2739.0,Deal 3,4.0,1600.0,1912.0,3.0,1.0,True,584.1548010222709,600.0,0.6
2019,IL,901108,1620,200.0,1200.0,123.45679012345678,1377.0,Deal 2,1.0,1000.0,1100.0,1.0,1.0,True,617.283950617284,800.0,4.0
2019,IL,901117,2502,500.0,1360.0,199.84012789768187,2502.0,Deal 2,1.0,1000.0,1240.0,1.0,1.0,True,399.68025579536373,500.0,1.0
2019,IL,901120,1192,400.0,1800.0,335.5704697986577,1192.0,Deal 2,2.0,655.0,1700.0,2.0,1.0,True,549.496644295302,255.0,0.6375
