district_id,funding_year,name,state_code,num_students,ia_bw_mbps_total,ia_monthly_cost_total,upstream_monthly_cost_total,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,total_projected_cost
882078,2019,Macon County School District,AL,2023.0,5000,4050.0,0,0.0,2500.0,0.0,0.0,2500.0
882079,2019,Clinton Public School District 1,AR,1589.0,2000,2761.8049500505176,1642.9516666666700000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882083,2019,Concord Public School District,AR,492.0,1000,1852.3348240559187,1248.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882084,2019,Madison County School District,AL,19352.0,5000,2800.0,0,0.0,0.0,2.0,5000.0,5000.0
882088,2019,Marengo County School District,AL,1048.0,1500,7516.37,0,0.0,2500.0,0.0,0.0,2500.0
882089,2019,Conway Public School District 1,AR,9920.0,20000,18664.962306168116,8978.8541666666700000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882092,2019,Marion County Board Of Education,AL,3664.0,1500,18055.1,0,0.0,2500.0,0.0,0.0,2500.0
882093,2019,Cotter Public School District,AR,707.0,1000,3346.8442288771025,2478.4200000000000000000000,890.0,0.0,0.0,0.0,890.0
882097,2019,Midfield City School District,AL,1086.0,1000,5409.4,0,0.0,2500.0,0.0,0.0,2500.0
882098,2019,County Line School District 1,AR,472.0,1000,1899.7683677934829,1320.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882103,2019,Mobile County School District,AL,55798.0,5050,37379.82,0,0.0,0.0,6.0,15000.0,15000.0
882104,2019,Crossett Public School District,AR,1823.0,3000,7489.702488321015,5250.4700000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882109,2019,Monroe County School District,AL,3499.0,1500,4449.62,0,0.0,2500.0,0.0,0.0,2500.0
882110,2019,Cutter-Morning Star School District,AR,598.0,1000,1982.537042246828,1248.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882115,2019,Montgomery County School District,AL,30051.0,5000,1175.41,0,0.0,0.0,4.0,10000.0,10000.0
882116,2019,Danville Public School District,AR,877.0,2000,12688.439107107806,11611.200000000000000000000,890.0,0.0,0.0,0.0,890.0
882120,2019,Dardanelle Public School District,AR,2104.0,3000,4504.391198808237,1920.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
