district_id,funding_year,name,state_code,fit_for_ia,fit_for_ia_cost,num_students,num_schools,ia_bw_mbps_total,ia_monthly_cost_total,ia_monthly_cost_total_extrap,meeting_2018_goal_oversub,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,projected_isp_3,projected_isp_49,projected_isp_74,total_projected_cost3,total_projected_cost49,total_projected_cost74
935907,2019,Cambridge Public School District,NE,True,True,356.0,3.0,200,1855.286427747423,1855.286427747423,False,1100.0,0.0,0.0,0.0,18.156,29.6548,44.784800000000004,1118.156,1129.6548,1144.7848
936040,2019,Cedar Bluffs Public Schools,NE,True,True,316.0,3.0,150,457.82615496681365,457.82615496681365,False,1100.0,0.0,0.0,0.0,16.116,26.3228,39.7528,1116.116,1126.3228,1139.7528
935952,2019,Centennial Public Schools,NE,True,True,447.0,2.0,4000,2097.606048323309,2097.606048323309,True,1100.0,0.0,0.0,0.0,22.797,37.2351,56.232600000000005,1122.797,1137.2351,1156.2326
936041,2019,Central City Public Schools,NE,True,True,712.0,3.0,200,1070.532855494846,1070.532855494846,False,1100.0,0.0,0.0,0.0,36.312,59.3096,89.56960000000001,1136.312,1159.3096,1189.5696
1086737,2019,Central Valley Public Schools,NE,True,True,291.0,2.0,200,4154.460984478933,4154.460984478933,False,1100.0,0.0,0.0,0.0,14.841000000000001,24.2403,36.607800000000005,1114.841,1124.2403,1136.6078
936059,2019,Centura Public School District,NE,True,True,488.0,2.0,200,466.99532792343376,466.99532792343376,False,1100.0,0.0,0.0,0.0,24.888,40.650400000000005,61.39040000000001,1124.888,1140.6504,1161.3904
936043,2019,Chadron Public School District,NE,True,True,906.0,4.0,500,1260.4701784808012,1260.4701784808012,False,1100.0,0.0,0.0,0.0,46.206,75.4698,113.9748,1146.206,1175.4698,1213.9748
936044,2019,Chambers Public School District,NE,True,True,112.0,2.0,100,1744.368763785706,1744.368763785706,False,1100.0,0.0,0.0,0.0,5.712000000000001,9.329600000000001,14.089600000000003,1105.712,1109.3296,1114.0896
935991,2019,Chase County Schools,NE,True,True,647.0,3.0,400,1042.957412226356,1042.957412226356,False,1100.0,0.0,0.0,0.0,32.997,53.895100000000006,81.3926,1132.997,1153.8951,1181.3926
936045,2019,Clarkson Public Schools,NE,True,True,201.0,2.0,200,2492.2203707225617,2492.2203707225617,False,1100.0,0.0,0.0,0.0,10.251,16.7433,25.285800000000002,1110.251,1116.7433,1125.2858
936046,2019,Cody-Kilgore Public Schools,NE,True,True,175.0,3.0,100,1273.8261934151658,1273.8261934151658,False,1100.0,0.0,0.0,0.0,8.925,14.577500000000002,22.015000000000004,1108.925,1114.5775,1122.015
936048,2019,Columbus Public School District,NE,True,True,3867.0,7.0,2000,1849.2093710654065,1849.2093710654065,False,0.0,2200.0,0.0,0.0,197.217,322.12110000000007,486.4686000000001,2397.217,2522.1211000000003,2686.4686
936128,2019,Conestoga Public School District,NE,True,True,698.0,2.0,2000,2797.226760021633,2797.226760021633,True,1100.0,0.0,0.0,0.0,35.598,58.14340000000001,87.8084,1135.598,1158.1434,1187.8084
936049,2019,Cozad Communtiy Schools,NE,True,True,965.0,4.0,1000,895.2315808321999,895.2315808321999,True,1100.0,0.0,0.0,0.0,49.215,80.3845,121.397,1149.215,1180.3845000000001,1221.397
936050,2019,Crawford Public School District,NE,True,True,229.0,2.0,200,952.1825616689883,952.1825616689883,False,1100.0,0.0,0.0,0.0,11.679,19.0757,28.8082,1111.679,1119.0757,1128.8082
935976,2019,Creek Valley Public Schools,NE,True,True,161.0,2.0,200,666.0800979419525,666.0800979419525,True,1100.0,0.0,0.0,0.0,8.211,13.4113,20.253800000000002,1108.211,1113.4113,1120.2538
936051,2019,Creighton Community Public Schools,NE,True,True,304.0,2.0,200,2348.858073132631,2348.858073132631,False,1100.0,0.0,0.0,0.0,15.504000000000001,25.323200000000003,38.2432,1115.504,1125.3232,1138.2432
935947,2019,Crete Public School District,NE,True,True,1940.0,4.0,1000,1460.6732298595523,1460.6732298595523,False,0.0,2200.0,0.0,0.0,98.94,161.602,244.052,2298.94,2361.602,2444.052
936052,2019,Crofton Community School District,NE,True,True,320.0,2.0,200,2362.482182244875,2362.482182244875,False,1100.0,0.0,0.0,0.0,16.32,26.656000000000002,40.256,1116.32,1126.656,1140.256
935972,2019,Cross County Community Schools,NE,True,True,400.0,3.0,200,515.6027278060933,515.6027278060933,False,1100.0,0.0,0.0,0.0,20.4,33.32,50.32,1120.4,1133.32,1150.32
935961,2019,Daniel Freeman Public School,NE,True,True,436.0,2.0,1000,1402.0069733086416,1402.0069733086416,True,1100.0,0.0,0.0,0.0,22.236,36.3188,54.848800000000004,1122.236,1136.3188,1154.8488
935899,2019,David City Public Schools,NE,True,True,633.0,3.0,300,924.6913167531426,924.6913167531426,False,1100.0,0.0,0.0,0.0,32.283,52.7289,79.63140000000001,1132.283,1152.7289,1179.6314
936053,2019,Deshler Public School District,NE,True,True,255.0,2.0,1000,1394.9467389763845,1394.9467389763845,True,1100.0,0.0,0.0,0.0,13.005,21.241500000000002,32.079,1113.005,1121.2415,1132.079
935970,2019,Diller - Odell Public Schools,NE,True,True,271.0,2.0,2000,2144.2208480886284,2144.2208480886284,True,1100.0,0.0,0.0,0.0,13.821,22.5743,34.0918,1113.821,1122.5743,1134.0918
935966,2019,Doniphan-Trumbull Public Schools,NE,True,True,474.0,2.0,250,1280.4992324502205,1280.4992324502205,False,1100.0,0.0,0.0,0.0,24.174000000000003,39.48420000000001,59.62920000000001,1124.174,1139.4842,1159.6292
936060,2019,Dorchester Public School District,NE,True,True,170.0,2.0,1000,1391.6311593175897,1391.6311593175897,True,1100.0,0.0,0.0,0.0,8.67,14.161000000000001,21.386000000000003,1108.67,1114.161,1121.386
