,district_id,state_code,name,num_students,locale,size,meeting_2018_goal_oversub,fy18_ia_bw_mbps_total,fy17_ia_bw_mbps_total,fy18_ia_bandwidth_per_student_kbps,fy17_ia_bandwidth_per_student_kbps,fy18_hierarchy_ia_connect_category,fy17_hierarchy_ia_connect_category
1052,900692,IL,Bureau Vly Community Ut School District,1116,Rural,Small,True,1250,550,1120,517,Cable,Cable
1053,900714,IL,Cowden-Herrick H S District 188,368,Rural,Small,True,1000,1000,2717,2809,Fiber,Fiber
1054,900758,IL,Nippersink School District 2,1146,Suburban,Small,True,3000,1000,2618,866,Fiber,Fixed Wireless
1055,900843,IL,West Central Community Unit School District 235,770,Rural,Small,True,1000,1000,1299,1202,Fiber,Fiber
1056,900848,IL,Sangamon Valley Community Unit School District #9,709,Rural,Small,True,1000,100,1410,141,Fiber,Fiber
1057,900864,IL,Western Cusd 12,564,Rural,Small,True,3000,2000,5319,3968,Fiber,Fiber
1058,900883,IL,Addison School District 4,4016,Suburban,Medium,True,5011,1010,1248,258,Fiber,Fiber
1059,900887,IL,Allen Otter Creek Ccsd District 65,95,Rural,Tiny,True,400,400,4211,4211,Fiber,Fiber
1060,900889,IL,Alsip-Hazelgrn-Oaklawn School District 126,1614,Suburban,Small,True,2000,1000,1239,739,Fiber,Fiber
1061,900891,IL,Alton Community Unit School District 11,6128,Suburban,Medium,True,5000,1000,816,162,Fiber,Fiber
1062,900905,IL,Argo Community High School District 217,1831,Suburban,Tiny,True,5000,1000,2731,519,Fiber,Fiber
1063,900908,IL,Township High School District 214,11836,Suburban,Medium,True,14000,14000,1183,1179,Fiber,Fiber
1064,900912,IL,Ashley Ccsd 15,172,Rural,Tiny,True,200,200,1163,1176,Cable,Cable
1065,900914,IL,Astoria Community Unit School District 1,367,Rural,Small,True,1000,1000,2725,3012,Fiber,Fiber
1066,900916,IL,Atwood Heights School District 125,661,Suburban,Small,True,3000,3000,4539,4464,Cable,Cable
1067,900923,IL,Avoca School District 37,748,Suburban,Small,True,2000,2000,2674,2789,Fiber,Fiber
1068,900932,IL,Beecher C U School District 200 U,1017,Town,Small,True,1075,1000,1057,994,Fiber,Fiber
1069,900933,IL,Beecher City C U School District 20,294,Rural,Small,True,1000,1000,3401,3311,Fiber,Fiber
1070,900940,IL,Bellwood School District 88,2303,Suburban,Medium,True,10000,5000,4342,1962,Fiber,Fiber
1071,900944,IL,Benjamin School District 25,632,Suburban,Small,True,1000,1000,1582,1712,Fiber,Fiber
1072,900949,IL,Benton High School District 103,565,Town,Tiny,True,750,200,1327,348,Fiber,Fiber
1073,900960,IL,Bloomington Public School District 87,5070,Urban,Medium,True,4000,3000,789,582,Fiber,Fiber
1074,900965,IL,Bourbonnais School District 53,2397,Suburban,Small,True,10000,10000,4172,3891,Fiber,Fiber
1075,900967,IL,Bradford Community Unit School District 1,151,Rural,Small,True,300,100,1987,763,Fiber,Cable
1076,900980,IL,Buncombe Consolidated School District 43,56,Rural,Tiny,True,75,75,1339,1250,Fiber,Fiber
1077,900982,IL,Central Community Unit School District 301,4024,Rural,Medium,True,3000,3000,746,721,Fiber,Fiber
1078,900983,IL,Burnham School District 154-5,197,Suburban,Tiny,True,1000,75,5076,366,Fiber,Fiber
1079,900990,IL,Calumet School District 132,1097,Suburban,Small,True,2000,1000,1823,880,Fiber,Fiber
1080,900992,IL,Camp Point Community Unit School District 3,856,Rural,Small,True,2000,2000,2336,2334,Fiber,Fiber
1081,900997,IL,Carbondale Community H S District 165,987,Urban,Tiny,True,1500,1000,1520,961,Fiber,Fiber
1082,901001,IL,Carmi-White Co Unified School District 5,1393,Town,Medium,True,1300,300,933,217,Fiber,Fiber
1083,901005,IL,Carrollton Cusd #1,562,Rural,Small,True,1000,100,1779,180,Fiber,Fiber
1084,901008,IL,Cass School District 63,750,Suburban,Small,True,1200,200,1600,269,Fiber,Fiber
1085,901016,IL,Centralia School District 135,1266,Town,Small,True,3000,400,2370,313,Fiber,Fiber
1086,901017,IL,Centralia High School District 200,913,Town,Tiny,True,1000,1000,1095,1070,Fiber,Fiber
1087,901030,IL,Cicero School District 99,11496,Suburban,Medium,True,20000,2000,1740,183,Fiber,Fiber
1088,901031,IL,North Wayne Community Unit District 200,401,Rural,Small,True,3000,600,7481,1442,Fiber,Fiber
1089,901036,IL,Clinton School District 15,1952,Town,Small,True,2000,1000,1025,526,Fiber,Fiber
1090,901039,IL,Cobden School District 17,512,Rural,Small,True,1000,1000,1953,1866,Fiber,Fiber
1091,901041,IL,Colona C U School District 190,443,Suburban,Tiny,True,1000,500,2257,1429,Fiber,Fiber
1092,901047,IL,Triopia C U School District 27,354,Rural,Small,True,1000,1000,2825,2890,Fiber,Fiber
1093,901049,IL,Ford Heights School District 169,419,Suburban,Small,True,1000,1000,2387,2227,Fiber,Fiber
1094,901053,IL,Creston Ccsd 161,95,Rural,Tiny,True,100,50,1053,505,Cable,Cable
1095,901054,IL,Crete Monee School District 201 U,4701,Suburban,Medium,True,5000,5000,1064,993,Fiber,Fiber
1096,901058,IL,Fulton Co Community School District 3,438,Rural,Small,True,1000,1000,2283,2268,Fiber,Fiber
1097,901062,IL,Cypress School District 64,131,Rural,Tiny,True,1000,1000,7634,8197,Fiber,Fiber
1098,901068,IL,Decatur School District 61,8718,Urban,Large,True,10000,10000,1147,1205,Fiber,Fiber
1099,901071,IL,Deerfield School District 109,2954,Suburban,Medium,True,3000,2000,1016,685,Fiber,Fiber
1100,901077,IL,Des Plaines School District 62,4682,Urban,Medium,True,5600,2600,1196,636,Fiber,Fiber
1101,901079,IL,Diamond Lake School District 76,1011,Suburban,Small,True,1200,500,1187,465,Fiber,Fiber
1102,901080,IL,Dieterich Cusd 30,488,Rural,Small,True,1000,,2049,,Fiber,None - Error
1103,901092,IL,Community High School District 099,4862,Suburban,Small,True,7050,4050,1450,815,Fiber,Fiber
1104,901096,IL,Durand School District 322,560,Rural,Small,True,1000,1000,1786,1639,Fiber,Fiber
1105,901109,IL,East Prairie School District 73,503,Urban,Tiny,True,1000,1000,1988,2016,Fiber,Fiber
1106,901115,IL,Edwards County School District 1,931,Rural,Small,True,1000,100,1074,109,Fiber,Fiber
1107,901119,IL,Egyptian School District 5,470,Rural,Small,True,500,100,1064,220,Fiber,Fiber
1108,901127,IL,Elmwood Communty Unit School District 322,691,Rural,Small,True,1000,1000,1447,1439,Fiber,Fiber
1109,901131,IL,Harmony Emge School District 175,827,Suburban,Small,True,1000,600,1209,752,Fiber,Cable
1110,901134,IL,Eswood Cc School District 269,85,Rural,Tiny,True,100,100,1176,1266,Fiber,Fiber
1111,901139,IL,Evergreen Park Community District 231,855,Suburban,Tiny,True,1000,500,1170,624,Fiber,Fiber
1112,901140,IL,Ewing-Northern Grade School District #115,202,Rural,Tiny,True,500,100,2475,459,Fiber,Fiber
1113,901142,IL,Fairmont School District 89,312,Suburban,Tiny,True,600,600,1923,1739,Fiber,Fiber
